64# Number of electrodes
# x z
0	0
5	0
10	0
15	0
20	0
25	0
30	0
35	0
40	0
45	0
50	0
55	0
60	0
65	0
70	0
75	0
80	0
85	0
90	0
95	0
100	0
105	0
110	0
115	0
120	0
125	0
130	0
135	0
140	0
145	0
150	0
155	0
160	0
165	0
170	0
175	0
180	0
185	0
190	0
195	0
200	0
205	0
210	0
215	0
220	0
225	0
230	0
235	0
240	0
245	0
250	0
255	0
260	0
265	0
270	0
275	0
280	0
285	0
290	0
295	0
300	0
305	0
310	0
315	0
1223# Number of data
#a	b	m	n	rhoa	err
  27	  52	  37	  42	73.35	0.0364249
  22	  57	  37	  42	100.14	0.0394118
  34	  46	  38	  42	43.62	0.0328808
  30	  50	  38	  42	64.94	0.035805
  26	  54	  38	  42	84.22	0.0389523
  22	  58	  38	  42	106.11	0.0418432
  36	  45	  39	  42	37.85	0.0324897
  33	  48	  39	  42	51.58	0.0354811
  30	  51	  39	  42	65.87	0.0385851
  27	  54	  39	  42	82.11	0.0414777
  38	  44	  40	  42	31.07	0.0320225
  36	  46	  40	  42	38.74	0.0348653
  34	  48	  40	  42	47.08	0.0380066
  32	  50	  40	  42	57.81	0.0408694
  40	  43	  41	  42	24.82	0.0312659
  39	  44	  41	  42	31.98	0.0329474
  38	  45	  41	  42	35.16	0.0353615
  37	  46	  41	  42	37.93	0.0382833
  19	  55	  31	  43	82.01	0.0345972
  21	  54	  32	  43	75.65	0.0345682
  23	  53	  33	  43	70.98	0.0344261
  25	  52	  34	  43	67.86	0.0341668
  27	  51	  35	  43	63.85	0.0339362
  29	  50	  36	  43	59.89	0.033672
  22	  57	  36	  43	94.22	0.0370021
  31	  49	  37	  43	53.57	0.0335187
  25	  55	  37	  43	84.27	0.0367105
  33	  48	  38	  43	48.66	0.0332279
  28	  53	  38	  43	73.99	0.0363689
  23	  58	  38	  43	98.95	0.0395244
  35	  47	  39	  43	41.06	0.0330608
  31	  51	  39	  43	59.76	0.0363083
  27	  55	  39	  43	80.66	0.0393477
  23	  59	  39	  43	102.16	0.0423008
  37	  46	  40	  43	35.72	0.0326386
  34	  49	  40	  43	47.43	0.0359615
  31	  52	  40	  43	58.92	0.0395979
  28	  55	  40	  43	76.03	0.0423966
  39	  45	  41	  43	33.33	0.0318851
  37	  47	  41	  43	36.53	0.0351599
  35	  49	  41	  43	44.95	0.0383863
  33	  51	  41	  43	54.79	0.0414677
  41	  44	  42	  43	25.80	0.0312175
  40	  45	  42	  43	30.65	0.033075
  39	  46	  42	  43	32.85	0.035738
  38	  47	  42	  43	33.66	0.0393345
  20	  56	  32	  44	84.78	0.0344466
  22	  55	  33	  44	78.77	0.0343871
  24	  54	  34	  44	74.76	0.034202
  26	  53	  35	  44	70.41	0.0340156
  28	  52	  36	  44	65.62	0.0338303
  30	  51	  37	  44	60.51	0.0336346
  23	  58	  37	  44	97.00	0.0368011
  32	  50	  38	  44	55.29	0.033409
  26	  56	  38	  44	86.43	0.0365428
  34	  49	  39	  44	48.06	0.0332687
  29	  54	  39	  44	72.56	0.0364947
  24	  59	  39	  44	100.09	0.0394162
  36	  48	  40	  44	40.90	0.0330723
  32	  52	  40	  44	58.54	0.03644
  28	  56	  40	  44	79.73	0.0394565
  24	  60	  40	  44	102.00	0.0423198
  38	  47	  41	  44	36.43	0.0325873
  35	  50	  41	  44	47.07	0.0360065
  32	  53	  41	  44	61.03	0.039265
  29	  56	  41	  44	76.83	0.0422667
  40	  46	  42	  44	34.89	0.0318008
  38	  48	  42	  44	37.53	0.0350231
  36	  50	  42	  44	44.25	0.0385192
  34	  52	  42	  44	52.20	0.0420366
  42	  45	  43	  44	34.45	0.0309119
  41	  46	  43	  44	34.46	0.0327349
  40	  47	  43	  44	35.86	0.035256
  39	  48	  43	  44	38.87	0.0380831
  21	  57	  33	  45	89.34	0.0342198
  23	  56	  34	  45	84.64	0.034083
  25	  55	  35	  45	81.62	0.0338492
  27	  54	  36	  45	75.52	0.0337439
  29	  53	  37	  45	69.65	0.0336082
  31	  52	  38	  45	64.21	0.0334248
  24	  59	  38	  45	105.38	0.0362607
  33	  51	  39	  45	56.95	0.0333097
  27	  57	  39	  45	90.95	0.0362177
  35	  50	  40	  45	48.73	0.0332232
  30	  55	  40	  45	75.70	0.0362254
  25	  60	  40	  45	106.89	0.0388174
  37	  49	  41	  45	46.18	0.0327213
  33	  53	  41	  45	62.08	0.0360724
  29	  57	  41	  45	86.21	0.0387457
  25	  61	  41	  45	113.46	0.0410752
  39	  48	  42	  45	42.02	0.0322429
  36	  51	  42	  45	50.50	0.0355983
  33	  54	  42	  45	66.42	0.0385137
  30	  57	  42	  45	84.36	0.0411715
  41	  47	  43	  45	39.24	0.0316011
  39	  49	  43	  45	46.15	0.0340847
  37	  51	  43	  45	51.73	0.0372881
  35	  53	  43	  45	62.70	0.0400209
  43	  46	  44	  45	47.26	0.0306647
  42	  47	  44	  45	43.11	0.0321862
  41	  48	  44	  45	45.55	0.0341382
  40	  49	  44	  45	50.17	0.0362617
  22	  58	  34	  46	98.82	0.0338149
  24	  57	  35	  46	94.78	0.0336461
  26	  56	  36	  46	88.09	0.0335663
  28	  55	  37	  46	82.21	0.0334393
  30	  54	  38	  46	76.61	0.0332805
  32	  53	  39	  46	68.62	0.0332047
  25	  60	  39	  46	114.13	0.0357805
  34	  52	  40	  46	59.47	0.0331697
  28	  58	  40	  46	97.63	0.0357923
  36	  51	  41	  46	52.66	0.032983
  31	  56	  41	  46	83.48	0.0356452
  26	  61	  41	  46	121.60	0.0377509
  38	  50	  42	  46	46.71	0.0326905
  34	  54	  42	  46	70.45	0.0353514
  30	  58	  42	  46	93.88	0.0380312
  26	  62	  42	  46	130.45	0.0396328
  40	  49	  43	  46	49.59	0.0319004
  37	  52	  43	  46	59.41	0.0347594
  34	  55	  43	  46	80.05	0.0370643
  31	  58	  43	  46	101.30	0.039304
  42	  48	  44	  46	49.24	0.031276
  40	  50	  44	  46	52.05	0.0336215
  38	  52	  44	  46	63.01	0.035983
  36	  54	  44	  46	76.90	0.0381711
  44	  47	  45	  46	56.50	0.030556
  43	  48	  45	  46	52.83	0.0317841
  42	  49	  45	  46	54.52	0.0334573
  41	  50	  45	  46	52.44	0.0359911
  23	  59	  35	  47	107.41	0.0335097
  25	  58	  36	  47	100.49	0.0334387
  27	  57	  37	  47	94.34	0.03333
  29	  56	  38	  47	87.21	0.0332421
  31	  55	  39	  47	77.73	0.0332333
  33	  54	  40	  47	71.18	0.0330895
  26	  61	  40	  47	123.42	0.0353457
  35	  53	  41	  47	62.08	0.0330362
  29	  59	  41	  47	105.93	0.0353385
  37	  52	  42	  47	55.32	0.0328393
  32	  57	  42	  47	89.43	0.0352691
  27	  62	  42	  47	132.75	0.0370996
  39	  51	  43	  47	51.35	0.0324471
  35	  55	  43	  47	76.85	0.0349057
  31	  59	  43	  47	110.07	0.0368502
  27	  63	  43	  47	151.14	0.0383145
  41	  50	  44	  47	46.19	0.0320405
  38	  53	  44	  47	65.80	0.0342968
  35	  56	  44	  47	88.19	0.036412
  32	  59	  44	  47	115.06	0.0381912
  43	  49	  45	  47	54.56	0.0311516
  41	  51	  45	  47	52.39	0.0335979
  39	  53	  45	  47	67.17	0.0356126
  37	  55	  45	  47	81.38	0.0377208
  45	  48	  46	  47	65.67	0.0304784
  44	  49	  46	  47	58.28	0.0316171
  43	  50	  46	  47	43.34	0.0343494
  42	  51	  46	  47	48.09	0.0365331
  24	  60	  36	  48	113.69	0.0333161
  26	  59	  37	  48	105.51	0.0332754
  28	  58	  38	  48	97.56	0.0332203
  30	  57	  39	  48	89.23	0.0331687
  32	  56	  40	  48	79.66	0.0331549
  34	  55	  41	  48	71.41	0.0330795
  27	  62	  41	  48	129.75	0.0350847
  36	  54	  42	  48	64.14	0.0329387
  30	  60	  42	  48	109.02	0.0351868
  38	  53	  43	  48	57.76	0.0327196
  33	  58	  43	  48	95.98	0.0349097
  28	  63	  43	  48	145.75	0.0364662
  40	  52	  44	  48	53.53	0.0323477
  36	  56	  44	  48	80.63	0.0346754
  32	  60	  44	  48	117.49	0.0364172
  28	  64	  44	  48	153.79	0.0381711
  42	  51	  45	  48	44.31	0.0321269
  39	  54	  45	  48	66.56	0.0342482
  36	  57	  45	  48	88.31	0.0364038
  33	  60	  45	  48	116.81	0.0380683
  44	  50	  46	  48	40.69	0.0315443
  42	  52	  46	  48	46.73	0.0340333
  40	  54	  46	  48	61.61	0.0361192
  38	  56	  46	  48	74.02	0.0384883
  46	  49	  47	  48	74.99	0.0304189
  45	  50	  47	  48	41.51	0.0322705
  44	  51	  47	  48	36.55	0.0351572
  43	  52	  47	  48	40.39	0.0377782
  25	  61	  37	  49	119.44	0.0331564
  27	  60	  38	  49	110.59	0.0331247
  29	  59	  39	  49	100.20	0.0331353
  31	  58	  40	  49	90.41	0.0331274
  33	  57	  41	  49	82.25	0.0330558
  35	  56	  42	  49	72.71	0.0330247
  28	  63	  42	  49	136.65	0.0348281
  37	  55	  43	  49	66.06	0.0328535
  31	  61	  43	  49	118.47	0.0347731
  39	  54	  44	  49	61.43	0.0325569
  34	  59	  44	  49	99.97	0.0347137
  29	  64	  44	  49	146.49	0.0364338
  41	  53	  45	  49	52.37	0.0323995
  37	  57	  45	  49	81.83	0.0346073
  33	  61	  45	  49	119.58	0.0363053
  43	  52	  46	  49	41.01	0.0322979
  40	  55	  46	  49	62.94	0.0344923
  37	  58	  46	  49	84.38	0.0367014
  34	  61	  46	  49	111.81	0.0384289
  45	  51	  47	  49	38.25	0.0316425
  43	  53	  47	  49	42.75	0.0344097
  41	  55	  47	  49	56.62	0.0366577
  39	  57	  47	  49	70.88	0.0388646
  47	  50	  48	  49	52.09	0.0306031
  46	  51	  48	  49	42.90	0.0321971
  45	  52	  48	  49	40.22	0.0346865
  44	  53	  48	  49	41.35	0.037597
  26	  62	  38	  50	130.54	0.0328879
  28	  61	  39	  50	119.31	0.0328964
  30	  60	  40	  50	108.06	0.0329074
  32	  59	  41	  50	97.83	0.0328903
  34	  58	  42	  50	87.78	0.032863
  36	  57	  43	  50	80.16	0.0327434
  29	  64	  43	  50	146.21	0.0345122
  38	  56	  44	  50	73.06	0.03258
  32	  62	  44	  50	133.01	0.0342514
  40	  55	  45	  50	65.77	0.0323882
  35	  60	  45	  50	109.99	0.0342843
  42	  54	  46	  50	53.54	0.0323473
  38	  58	  46	  50	86.89	0.0343385
  34	  62	  46	  50	126.84	0.0359446
  44	  53	  47	  50	43.74	0.0321548
  41	  56	  47	  50	66.44	0.0342558
  38	  59	  47	  50	91.25	0.0361973
  35	  62	  47	  50	122.97	0.0376643
  46	  52	  48	  50	47.80	0.0313144
  44	  54	  48	  50	50.90	0.0337031
  42	  56	  48	  50	66.44	0.0356742
  40	  58	  48	  50	86.05	0.0373015
  48	  51	  49	  50	67.01	0.0304689
  47	  52	  49	  50	59.55	0.0315827
  46	  53	  49	  50	56.71	0.0333236
  45	  54	  49	  50	57.77	0.0354384
   2	   8	   4	   6	26.90	0.0323361
   4	   7	   5	   6	22.33	0.0314066
   3	   8	   5	   6	24.81	0.0337985
   2	   9	   5	   6	28.60	0.0365904
   1	  10	   5	   6	31.44	0.0399932
  27	  63	  39	  51	138.12	0.0327295
  29	  62	  40	  51	126.63	0.0327289
  31	  61	  41	  51	115.27	0.0327254
  33	  60	  42	  51	103.41	0.0327342
  35	  59	  43	  51	94.60	0.0326568
  37	  58	  44	  51	85.75	0.0325646
  39	  57	  45	  51	78.02	0.0324159
  33	  63	  45	  51	141.48	0.0339969
  41	  56	  46	  51	65.30	0.0324055
  36	  61	  46	  51	113.58	0.034149
  43	  55	  47	  51	53.04	0.0323691
  39	  59	  47	  51	89.61	0.0342069
  35	  63	  47	  51	133.28	0.0356572
  45	  54	  48	  51	48.60	0.0319391
  42	  57	  48	  51	70.13	0.0340318
  39	  60	  48	  51	101.44	0.0355748
  36	  63	  48	  51	135.07	0.0369776
  47	  53	  49	  51	52.82	0.0311896
  45	  55	  49	  51	56.22	0.033353
  43	  57	  49	  51	70.41	0.0353541
  41	  59	  49	  51	93.00	0.036756
  49	  52	  50	  51	34.32	0.0309154
  48	  53	  50	  51	35.02	0.0326913
  47	  54	  50	  51	40.75	0.034626
  46	  55	  50	  51	48.31	0.0365032
  28	  64	  40	  52	138.36	0.0327248
  30	  63	  41	  52	134.69	0.0325658
  32	  62	  42	  52	122.41	0.0325665
  34	  61	  43	  52	111.60	0.0325335
  36	  60	  44	  52	101.73	0.0324705
  38	  59	  45	  52	90.23	0.0324373
  40	  58	  46	  52	79.60	0.0323679
  34	  64	  46	  52	137.77	0.0341045
  42	  57	  47	  52	65.93	0.0323825
  37	  62	  47	  52	119.30	0.0339501
  44	  56	  48	  52	56.20	0.0322362
  40	  60	  48	  52	97.91	0.0338503
  36	  64	  48	  52	135.82	0.0355515
  46	  55	  49	  52	54.29	0.0317359
  43	  58	  49	  52	74.67	0.0337866
  40	  61	  49	  52	111.27	0.0350821
  37	  64	  49	  52	139.53	0.0367549
  48	  54	  50	  52	36.00	0.0317452
  46	  56	  50	  52	51.60	0.0336527
  44	  58	  50	  52	68.40	0.0355115
  42	  60	  50	  52	91.22	0.0368882
  50	  53	  51	  52	25.53	0.0312307
  49	  54	  51	  52	29.62	0.0331817
  48	  55	  51	  52	38.63	0.0348796
  47	  56	  51	  52	48.25	0.0365106
  31	  64	  42	  53	135.67	0.0325472
  33	  63	  43	  53	132.63	0.0323688
  35	  62	  44	  53	120.13	0.0323536
  37	  61	  45	  53	107.96	0.0323279
  39	  60	  46	  53	95.15	0.0323111
  41	  59	  47	  53	80.85	0.0323314
  43	  58	  48	  53	69.09	0.0322737
  38	  63	  48	  53	129.10	0.0336501
  45	  57	  49	  53	61.45	0.0320449
  41	  61	  49	  53	105.59	0.0335702
  47	  56	  50	  53	47.26	0.0319943
  44	  59	  50	  53	74.27	0.0338072
  41	  62	  50	  53	112.53	0.035025
  49	  55	  51	  53	32.94	0.0319077
  47	  57	  51	  53	53.74	0.0335078
  45	  59	  51	  53	73.04	0.0351612
  43	  61	  51	  53	96.92	0.0364831
  51	  54	  52	  53	24.73	0.0312706
  50	  55	  52	  53	30.68	0.0330723
  49	  56	  52	  53	39.07	0.0348252
  48	  57	  52	  53	50.06	0.0362755
  34	  64	  44	  54	134.39	0.0323377
  36	  63	  45	  54	127.48	0.032218
  38	  62	  46	  54	111.80	0.032248
  40	  61	  47	  54	98.49	0.0322329
  42	  60	  48	  54	85.18	0.032213
  44	  59	  49	  54	72.71	0.0321602
  39	  64	  49	  54	130.60	0.0336082
  46	  58	  50	  54	60.06	0.0320922
  42	  62	  50	  54	107.84	0.0334958
  48	  57	  51	  54	46.65	0.0320202
  45	  60	  51	  54	79.68	0.0335485
  42	  63	  51	  54	119.67	0.0347255
  50	  56	  52	  54	33.48	0.0318769
  48	  58	  52	  54	54.46	0.0334615
  46	  60	  52	  54	78.03	0.0348316
  44	  62	  52	  54	101.83	0.0361704
  52	  55	  53	  54	23.84	0.0313176
  51	  56	  53	  54	30.10	0.0331311
  50	  57	  53	  54	38.89	0.0348475
  49	  58	  53	  54	49.46	0.0363516
  37	  64	  46	  55	123.22	0.0322946
  39	  63	  47	  55	116.34	0.0321602
  41	  62	  48	  55	103.35	0.0321279
  43	  61	  49	  55	89.15	0.0321144
  45	  60	  50	  55	74.12	0.0321191
  47	  59	  51	  55	59.18	0.0321234
  43	  63	  51	  55	110.64	0.0334075
  49	  58	  52	  55	45.45	0.0320735
  46	  61	  52	  55	81.33	0.0334766
  43	  64	  52	  55	114.07	0.0349574
  51	  57	  53	  55	32.56	0.03193
  49	  59	  53	  55	50.92	0.0337021
  47	  61	  53	  55	77.56	0.0348605
  45	  63	  53	  55	102.49	0.0361305
  53	  56	  54	  55	22.50	0.0313963
  52	  57	  54	  55	28.66	0.0332884
  51	  58	  54	  55	37.57	0.0350174
  50	  59	  54	  55	47.28	0.0366444
  40	  64	  48	  56	117.35	0.0321416
  42	  63	  49	  56	109.97	0.0319997
  44	  62	  50	  56	91.96	0.0320498
  46	  61	  51	  56	77.39	0.0320297
  48	  60	  52	  56	61.83	0.0320324
  44	  64	  52	  56	107.92	0.0334934
  50	  59	  53	  56	45.62	0.0320661
  47	  62	  53	  56	84.07	0.0333632
  52	  58	  54	  56	32.24	0.031949
  50	  60	  54	  56	54.14	0.0334818
  48	  62	  54	  56	78.93	0.0347765
  46	  64	  54	  56	99.38	0.0363224
  54	  57	  55	  56	23.84	0.0313178
  53	  58	  55	  56	29.90	0.0331517
  52	  59	  55	  56	39.20	0.0348082
  51	  60	  55	  56	50.91	0.0361714
  43	  64	  50	  57	106.22	0.0320704
  45	  63	  51	  57	98.40	0.0319155
  47	  62	  52	  57	81.83	0.0319196
  49	  61	  53	  57	63.54	0.0319778
  51	  60	  54	  57	47.89	0.0319681
  48	  63	  54	  57	87.82	0.0332198
  53	  59	  55	  57	32.77	0.0319175
  51	  61	  55	  57	57.35	0.0332865
  49	  63	  55	  57	85.66	0.0344009
  55	  58	  56	  57	22.69	0.0313846
  54	  59	  56	  57	29.16	0.0332318
  53	  60	  56	  57	40.63	0.0346395
  52	  61	  56	  57	53.76	0.0358433
  46	  64	  52	  58	99.75	0.0318897
  48	  63	  53	  58	88.26	0.0317798
  50	  62	  54	  58	69.76	0.0318014
  52	  61	  55	  58	51.77	0.0318206
  49	  64	  55	  58	91.84	0.0330788
  54	  60	  56	  58	35.80	0.0317552
  52	  62	  56	  58	64.90	0.0329042
  50	  64	  56	  58	91.45	0.0341223
  56	  59	  57	  58	24.48	0.0312832
  55	  60	  57	  58	33.39	0.0328226
  54	  61	  57	  58	46.37	0.0340648
  53	  62	  57	  58	62.60	0.0350187
  49	  64	  54	  59	88.22	0.0317805
  51	  63	  55	  59	76.77	0.031637
  53	  62	  56	  59	56.97	0.0316544
  55	  61	  57	  59	38.44	0.0316345
  53	  63	  57	  59	72.47	0.032601
  57	  60	  58	  59	24.62	0.031276
  56	  61	  58	  59	34.28	0.0327495
  55	  62	  58	  59	48.69	0.0338713
  54	  63	  58	  59	66.61	0.0347165
  52	  64	  56	  60	76.49	0.0316428
  54	  63	  57	  60	61.29	0.0315377
  56	  62	  58	  60	38.25	0.0316427
  54	  64	  58	  60	68.19	0.0327642
  58	  61	  59	  60	21.74	0.0314454
  57	  62	  59	  60	32.26	0.0329217
  56	  63	  59	  60	48.45	0.0338906
  55	  64	  59	  60	60.40	0.0352017
   1	  10	   4	   7	31.34	0.0330069
   3	   9	   5	   7	26.56	0.0323655
   1	  11	   5	   7	32.43	0.0358117
   5	   8	   6	   7	22.35	0.0314054
   4	   9	   6	   7	25.50	0.0336958
   3	  10	   6	   7	28.87	0.0365288
   2	  11	   6	   7	31.65	0.0399259
  55	  64	  58	  61	63.42	0.031486
  57	  63	  59	  61	45.30	0.031387
  59	  62	  60	  61	26.97	0.0311648
  58	  63	  60	  61	44.30	0.0321275
  57	  64	  60	  61	59.30	0.0331786
  58	  64	  60	  62	52.43	0.0311984
  60	  63	  61	  62	30.12	0.031043
  59	  64	  61	  62	48.21	0.031955
  61	  64	  62	  63	43.54	0.0307216
   2	  11	   5	   8	29.94	0.0331482
   4	  10	   6	   8	25.90	0.032426
   2	  12	   6	   8	32.15	0.0358623
   6	   9	   7	   8	20.78	0.031512
   5	  10	   7	   8	24.04	0.0339201
   4	  11	   7	   8	27.01	0.0369776
   3	  12	   7	   8	30.05	0.0404553
   1	  13	   5	   9	33.17	0.0337884
   3	  12	   6	   9	29.77	0.0331655
   5	  11	   7	   9	24.89	0.0325248
   3	  13	   7	   9	30.80	0.0361192
   1	  15	   7	   9	35.22	0.0407028
   7	  10	   8	   9	19.62	0.031601
   6	  11	   8	   9	23.46	0.0340167
   5	  12	   8	   9	27.60	0.0368291
   4	  13	   8	   9	30.07	0.0404471
   2	  14	   6	  10	33.52	0.0337488
   4	  13	   7	  10	29.76	0.0331667
   1	  16	   7	  10	37.04	0.0376334
   6	  12	   8	  10	25.72	0.0324432
   4	  14	   8	  10	32.46	0.0358075
   2	  16	   8	  10	36.78	0.0402507
   8	  11	   9	  10	20.90	0.0315028
   7	  12	   9	  10	25.38	0.0337141
   6	  13	   9	  10	29.32	0.0364286
   5	  14	   9	  10	32.82	0.0395725
   1	  16	   6	  11	36.86	0.0342614
   3	  15	   7	  11	33.72	0.033727
   5	  14	   8	  11	30.73	0.0330669
   2	  17	   8	  11	38.33	0.0373773
   7	  13	   9	  11	26.65	0.0323574
   5	  15	   9	  11	34.00	0.0355437
   3	  17	   9	  11	38.58	0.0397724
   1	  19	   9	  11	43.06	0.0445922
   9	  12	  10	  11	20.45	0.0315362
   8	  13	  10	  11	24.72	0.0338123
   7	  14	  10	  11	29.18	0.0364589
   6	  15	  10	  11	32.66	0.0396188
   2	  17	   7	  12	36.57	0.0342954
   4	  16	   8	  12	33.89	0.0337079
   6	  15	   9	  12	31.18	0.0330231
   3	  18	   9	  12	38.84	0.0372788
   8	  14	  10	  12	25.67	0.0324479
   6	  16	  10	  12	32.57	0.0357881
   4	  18	  10	  12	37.60	0.040026
   2	  20	  10	  12	41.08	0.0452932
  10	  13	  11	  12	20.11	0.0315619
   9	  14	  11	  12	23.76	0.0339662
   8	  15	  11	  12	27.50	0.036855
   7	  16	  11	  12	30.77	0.0402086
   1	  19	   7	  13	39.50	0.0347725
   3	  18	   8	  13	37.25	0.0342171
   1	  21	   9	  13	44.05	0.0385576
   5	  17	   9	  13	34.68	0.0336238
   1	  22	  10	  13	45.13	0.0425293
   7	  16	  10	  13	30.44	0.0330963
   4	  19	  10	  13	38.01	0.0374393
   3	  21	  11	  13	40.26	0.0456051
   9	  15	  11	  13	25.57	0.0324573
   7	  17	  11	  13	32.17	0.0358597
   5	  19	  11	  13	36.65	0.0402851
  11	  14	  12	  13	20.77	0.0315128
  10	  15	  12	  13	24.83	0.033796
   9	  16	  12	  13	27.68	0.0368092
   8	  17	  12	  13	30.65	0.0402506
   2	  20	   8	  14	39.95	0.0347182
   4	  19	   9	  14	37.68	0.0341686
   2	  22	  10	  14	44.08	0.0385521
   6	  18	  10	  14	34.72	0.0336189
   2	  23	  11	  14	45.67	0.0423812
   8	  17	  11	  14	30.40	0.0331001
   5	  20	  11	  14	37.84	0.0374715
   4	  22	  12	  14	41.98	0.0449654
  10	  16	  12	  14	26.39	0.0323807
   8	  18	  12	  14	32.52	0.0357957
   6	  20	  12	  14	37.00	0.0401903
  12	  15	  13	  14	22.35	0.0314054
  11	  16	  13	  14	25.87	0.0336434
  10	  17	  13	  14	29.24	0.0364473
   9	  18	  13	  14	32.11	0.0397844
   1	  22	   8	  15	43.90	0.0350098
   3	  21	   9	  15	40.51	0.0346536
   5	  20	  10	  15	37.33	0.0342082
   3	  23	  11	  15	44.07	0.038554
   7	  19	  11	  15	33.97	0.0336989
   6	  21	  12	  15	37.89	0.0374617
   3	  24	  12	  15	45.50	0.0424276
   9	  18	  12	  15	30.46	0.0330938
   7	  21	  13	  15	36.83	0.0402348
   5	  23	  13	  15	42.65	0.0447327
  11	  17	  13	  15	26.31	0.032388
   9	  19	  13	  15	31.93	0.0359031
  13	  16	  14	  15	20.99	0.0314965
  12	  17	  14	  15	24.58	0.0338347
  11	  18	  14	  15	28.11	0.0367059
  10	  19	  14	  15	30.29	0.0403709
   2	  23	   9	  16	45.42	0.0348416
   4	  22	  10	  16	41.50	0.0345415
   6	  21	  11	  16	37.68	0.034169
   1	  26	  11	  16	53.02	0.0388883
   4	  24	  12	  16	45.66	0.0382558
   8	  20	  12	  16	33.77	0.0337207
   7	  22	  13	  16	39.28	0.0371984
   4	  25	  13	  16	48.34	0.0416969
   1	  28	  13	  16	58.74	0.0460456
  10	  19	  13	  16	31.04	0.0330367
   8	  22	  14	  16	37.25	0.0401203
   6	  24	  14	  16	43.77	0.0443553
  12	  18	  14	  16	26.95	0.0323312
  10	  20	  14	  16	32.25	0.0358442
  14	  17	  15	  16	23.92	0.0313133
  13	  18	  15	  16	27.24	0.03346
  12	  19	  15	  16	29.98	0.0362864
  11	  20	  15	  16	32.54	0.0396538
   1	  25	   9	  17	49.87	0.0350396
   3	  24	  10	  17	45.54	0.0348293
   5	  23	  11	  17	42.02	0.0344857
   7	  22	  12	  17	38.01	0.0341331
   2	  27	  12	  17	53.86	0.0387496
   9	  21	  13	  17	33.73	0.0337256
   5	  25	  13	  17	46.52	0.0381045
   1	  29	  13	  17	60.46	0.0424704
   8	  23	  14	  17	38.86	0.0372761
   5	  26	  14	  17	48.64	0.0416252
   2	  29	  14	  17	59.07	0.0459555
  11	  20	  14	  17	29.75	0.0331685
  11	  21	  15	  17	32.58	0.0357856
   9	  23	  15	  17	38.54	0.039782
   7	  25	  15	  17	44.78	0.0440314
  13	  19	  15	  17	26.62	0.0323603
  12	  21	  16	  17	29.51	0.0406455
  15	  18	  16	  17	21.28	0.0314764
  14	  19	  16	  17	25.12	0.0337512
  13	  20	  16	  17	26.97	0.0369898
   2	  26	  10	  18	49.82	0.0350448
   4	  25	  11	  18	45.80	0.0348019
   6	  24	  12	  18	42.01	0.0344873
   8	  23	  13	  18	37.81	0.0341542
   3	  28	  13	  18	54.78	0.038602
  10	  22	  14	  18	33.45	0.0337569
   6	  26	  14	  18	46.27	0.0381476
   2	  30	  14	  18	61.41	0.042278
  12	  21	  15	  18	29.42	0.0332039
   9	  24	  15	  18	39.11	0.0372298
   6	  27	  15	  18	49.07	0.0415242
   3	  30	  15	  18	60.82	0.0454957
  12	  22	  16	  18	30.57	0.0361656
  10	  24	  16	  18	37.11	0.0401591
   8	  26	  16	  18	42.10	0.0449261
  14	  20	  16	  18	25.14	0.0324996
  14	  21	  17	  18	26.67	0.037068
  13	  22	  17	  18	29.32	0.0407143
  16	  19	  17	  18	21.23	0.0314799
  15	  20	  17	  18	23.52	0.0340065
   1	  28	  10	  19	55.80	0.0350672
   3	  27	  11	  19	50.73	0.0349543
   5	  26	  12	  19	47.05	0.0346738
   7	  25	  13	  19	42.63	0.0344219
   1	  31	  13	  19	66.89	0.038454
   9	  24	  14	  19	38.12	0.0341211
   4	  29	  14	  19	56.32	0.0383669
  11	  23	  15	  19	34.51	0.0336417
   7	  27	  15	  19	48.23	0.0378163
   3	  31	  15	  19	65.43	0.0415242
  13	  22	  16	  19	29.39	0.0332068
  10	  25	  16	  19	39.19	0.0372154
   7	  28	  16	  19	50.14	0.0412792
   4	  31	  16	  19	64.09	0.0447055
  15	  21	  17	  19	25.34	0.0324792
  13	  23	  17	  19	32.07	0.0358778
  11	  25	  17	  19	38.17	0.0398767
   9	  27	  17	  19	44.50	0.044121
  16	  21	  18	  19	25.71	0.0336652
  15	  22	  18	  19	28.98	0.0365053
  14	  23	  18	  19	32.42	0.0396891
  17	  20	  18	  19	20.96	0.0314987
   2	  29	  11	  20	56.27	0.0350244
   4	  28	  12	  20	51.99	0.0348345
   6	  27	  13	  20	47.43	0.0346368
   8	  26	  14	  20	42.41	0.0344447
   2	  32	  14	  20	66.96	0.038445
  10	  25	  15	  20	38.55	0.0340742
   5	  30	  15	  20	58.26	0.038088
  12	  24	  16	  20	33.62	0.0337375
   8	  28	  16	  20	47.06	0.0380115
   4	  32	  16	  20	64.42	0.0417038
  14	  23	  17	  20	30.23	0.0331178
  11	  26	  17	  20	39.62	0.0371365
   8	  29	  17	  20	48.96	0.041551
   5	  32	  17	  20	63.38	0.0448703
  16	  22	  18	  20	26.70	0.0323536
  14	  24	  18	  20	32.98	0.0357157
  12	  26	  18	  20	38.59	0.03977
  10	  28	  18	  20	45.90	0.0436887
  18	  21	  19	  20	20.12	0.0315615
  17	  22	  19	  20	24.76	0.0338065
  16	  23	  19	  20	29.04	0.0364915
  15	  24	  19	  20	31.40	0.0400058
